ID;name;catalognumber;cena brutto;ID regula podatkowa;ID kategorii;inInventory;picture;description;attributes
100;Plafon CRYSTAL C0076-05L-F4FZ - Zuma Line;003064-001000;719.1;1;Lampy sufitowe;10;https://polskielampy.pl/images/!!!ZUMA/CRYSTAL/mini/450px_crystal-sufitowa.jpg;Lampa sufitowa CRYSTAL to niesamowicie efektowna propozycja dla wnętrz. Lustrzana powłoka staje się przezroczysta po włączeniu. Wnętrze lampy jest wypełnione zwisającymi kryształkami, przypominające krople wody. Połączenie chromu z kryształkami gwarantuje piękną grę światła. Lampa sprawdzi się idealnie do salonu, kuchni, czy sypialni.;Wysokość:22 cm,Szerokość:40 cm,Materiał:Szkło,Kolor:Chrom,Trzonek:G9,Moc żarówki:42W,Napięcie zasilania:230V,Ilość żarówek:5,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
101;Plafon CRYSTAL C0076-06X-F4FZ - Zuma Line;003064-001001;1034.1;1;Lampy sufitowe;10;https://polskielampy.pl/images/!!!ZUMA/CRYSTAL/mini/450px_lampa-sufitowa-crystal-c0076-06x-2.jpg;Lampa sufitowa CRYSTAL to stylowa i klasyczna propozycja dla nowoczesnych wnętrz. Delikatne kryształki umieszczone pod źródłem światła tworzy wyjątkową iluminację. Lampa oferuje wysoką jakość materiałów i staranne wykonanie dając magię pięknego oświetlenia. Idealnie nada się do przestrzeni zacisza domowego, czy też salonów piękności.;Wysokość:22 cm,Szerokość:50 cm,Materiał:Szkło,Kolor:Chrom,Trzonek:G9,Moc żarówki:42W,Napięcie zasilania:230V,Ilość żarówek:6,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
102;Plafon VISTA C0076-06K-F4GR - Zuma Line;003064-001175;1349.1;1;Lampy sufitowe;10;https://polskielampy.pl/images/!!!!!!!ZUMAA/ZUMA1/mini/450px_C0076-06K.jpg;Lampa sufitowa VISTA to wyjątkowy element dekoracyjny nadający się na motyw przewodni wnętrza. Owalny, szklany klosz z eleganckimi prześwitami jest wypełniony serią kryształków, które dodają całości blasku i odbijają wpadające do pomieszczenia słońce. Srebrny kolor wprowadza do wnętrza wyjątkowy i przyjemny nastrój. Idealnie nada się do salonu czy kuchni.;Wysokość:34,5 cm,Szerokość:50 cm,Materiał:Szkło,Kolor:Chrom,Trzonek:G9,Moc żarówki:42W,Napięcie zasilania:230V,Ilość żarówek:6,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
103;Plafon COMPO PL10 BIANCO 125510 -Ideal Lux;125510/IL;5313.8;1;Lampy sufitowe;10;https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_125510_1.jpg;IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.;Wysokość:35 cm,Szerokość:73,5 cm,Materiał:Metal,Kolor:Biały,Trzonek:E27,Moc żarówki:60W,Napięcie zasilania:230V,Ilość żarówek:10,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
104;Lampa sufitowa SYDNEY C8380-51W Auhilon;C8380-51W;449.1;1;Lampy wiszące;10;https://polskielampy.pl/images/DECOLIGHT/mini/450px_C8380-51w.jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:22,6 cm,Szerokość:66 cm,Materiał:Metal,Kolor:Chrom,Trzonek:Moduł LED,Moc żarówki:51W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
105;Oprawa  sufitowa BALVE G917006-2B – Zuma Line;003064-007894;167.4;1;Lampy wiszące;10;https://polskielampy.pl/images//ZumaLine/2018/mini/450px_G917006-2B_1.jpg;Oprawa sufitowa BALVE to połączenie unikalnego designu z klasyką, elegancją i wysoką jakością materiałów. Solidna forma daje gwarancję funkcjonalności i komfortu użytkowania. Nowoczesna konstrukcja z metalu emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Ten minimalistyczny kształt idealnie nada się do salonu czy pomieszczeń biurowych.;Wysokość:23 cm,Szerokość:15 cm,Materiał:Metal,Kolor:Szary,Trzonek:E14,Moc żarówki:40W,Napięcie zasilania:230V,Ilość żarówek:2,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
106;Oprawa sufitowa  MARTIN TK171206-4 - Zuma Line;003064-008080;152.1;1;Lampy wiszące;10;https://polskielampy.pl/images/ZumaLine/2018/mini/450px_CK171206-4.jpg;Oprawa sufitowa MARTIN to połączenie estetyki z komfortem użytkowania i funkcjonalnością. Cztery oprawy żarówek są otoczone złotymi klatkami, a pozostałe elementy są w kolorze czarnym. Złoty kolor skontrastowany z czarnym dodaje nieskazitelnej elegancji i charakteru. Z łatwością dopasuje się do nowoczesnych i designerskich aranżacji. Idealnie  Idealnie nada się do salonu, sypialni czy gabinetu.;Wysokość:19,7 cm,Szerokość:64,4 cm,Materiał:Metal,Kolor:Czarny,Trzonek:E14,Moc żarówki:40W,Napięcie zasilania:230V,Ilość żarówek:4,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
107;Oprawa sufitowa  REDON CK170901-2 - Zuma Line;003064-008070;67.5;1;Lampy wiszące;10;https://polskielampy.pl/images/ZumaLine/2018/mini/450px_CK170901-2.jpg;Oprawa sufitowa REDONcharakteryzuje się wyszukanym stylem i dobrą jakością.Uniwersalne połączenie kultowych odcieni bieli, czerni i złota nadaje niestandardowego charakteru wnętrzu. Nowoczesna konstrukcja emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Doskonale sprawdzi się w korytarzu, salonie czy gabinecie.;Wysokość:18,1 cm,Szerokość:28 cm,Materiał:Metal,Kolor:Czarny,Trzonek:E14,Moc żarówki:40W,Napięcie zasilania:230V,Ilość żarówek:2,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
108;Plafon MARISA C29528F-2A  - Italux - Wyprzedaż;C29528F-2A/WYP;210.0;1;PLAFONY DESIGNERSKIE;2;https://polskielampy.pl/images/Italux/2016/mini/450px_C29528F-2A.jpg;Wyprzedaż stanu magazynowego ! Wysyłamy w 24 godziny. Produkt nowy i oryginalnie zapakowany. Produkt nie pochodzi z ekspozycji ! Ilość ograniczona.Lampy Italux to najwyższa klasa produktów stylizowanych na oryginalnych Włoskich projektach. Lampy Italux to wyszukany styl i elegancja która zagości w Państwa wnętrzach.  Lampy Italux to bogata oferta oświetlenia nowoczesnego i klasycznego. Lampy Italuxzyskały już popularność wśród projektantów i architektów. Polecamy lampy Italux do powierzchni mieszkalnych ale także komercyjnych.;Wysokość:11,5 cm,Szerokość:47 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:7,2W,Napięcie zasilania:230V,Ilość żarówek:4,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
109;Plafon TEQUILA BIS 722 - Argon - WYPRZEDAŻ;722/Argon/WYP;169.0;1;PLAFONY DESIGNERSKIE;2;https://polskielampy.pl/images/mini/450px_BIS 722.jpg;Wyprzedaż stanu magazynowego, produkt nowy ( nie z ekspozycji )Plafon TEQUILA BIS 722 - Argon;Wysokość:8 cm,Szerokość:30 cm,Materiał:Drewno,Kolor:Brązowy,Trzonek:E27,Moc żarówki:15W,Napięcie zasilania:230V,Ilość żarówek:2,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
