name,catalognumber,price,inInventory,picture,description,category,Wysokość,Szerokość,Specyfikacja
Plafon CRYSTAL C0076-05L-F4FZ - Zuma Line,003064-001000,799.00,10,https://polskielampy.pl/images/!!!ZUMA/CRYSTAL/mini/450px_crystal-sufitowa.jpg,"Lampa sufitowa CRYSTAL to niesamowicie efektowna propozycja dla wnętrz. Lustrzana powłoka staje się przezroczysta po włączeniu. Wnętrze lampy jest wypełnione zwisającymi kryształkami, przypominające krople wody. Połączenie chromu z kryształkami gwarantuje piękną grę światła. Lampa sprawdzi się idealnie do salonu, kuchni, czy sypialni.",PLAFONY DESIGNERSKIE,22 cm,40 cm,Materiał:Szkło   Kolor:Chrom   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL5 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon CRYSTAL C0076-06X-F4FZ - Zuma Line,003064-001001,1149.00,10,https://polskielampy.pl/images/!!!ZUMA/CRYSTAL/mini/450px_lampa-sufitowa-crystal-c0076-06x-2.jpg,"Lampa sufitowa CRYSTAL to stylowa i klasyczna propozycja dla nowoczesnych wnętrz. Delikatne kryształki umieszczone pod źródłem światła tworzy wyjątkową iluminację. Lampa oferuje wysoką jakość materiałów i staranne wykonanie dając magię pięknego oświetlenia. Idealnie nada się do przestrzeni zacisza domowego, czy też salonów piękności.",PLAFONY DESIGNERSKIE,22 cm,50 cm,Materiał:Szkło   Kolor:Chrom   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL6 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon RAIN C0076-01D-F4K9 - Zuma Line,003064-001179,399.00,2,https://polskielampy.pl/images/!!!!!!!ZUMAA/ZUMA1/mini/450px_C0076-01D-F4K9.jpg,"Lampa sufitowa RAIN to połączenie klasyki i elegancji z nowoczesnym wyglądem i dobrą jakością wykonania. Lekko przydymiony, szklany klosz, jego faktura imituje krople deszczu nadające niesamowity efekt i klimat wnętrzu. Wyłaniające się lustrzane kryształki dodają elegancji. Doskonale nada się do kuchni czy salonu.",PLAFONY DESIGNERSKIE,19 cm,22 cm,Materiał:Szkło   Kolor:Chrom   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon VISTA C0076-06K-F4GR - Zuma Line,003064-001175,1499.00,10,https://polskielampy.pl/images/!!!!!!!ZUMAA/ZUMA1/mini/450px_C0076-06K.jpg,"Lampa sufitowa VISTA to wyjątkowy element dekoracyjny nadający się na motyw przewodni wnętrza. Owalny, szklany klosz z eleganckimi prześwitami jest wypełniony serią kryształków, które dodają całości blasku i odbijają wpadające do pomieszczenia słońce. Srebrny kolor wprowadza do wnętrza wyjątkowy i przyjemny nastrój. Idealnie nada się do salonu czy kuchni.",PLAFONY DESIGNERSKIE,"34,5 cm",50 cm,Materiał:Szkło   Kolor:Chrom   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL6 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon COMPO PL10 BIANCO 125510 -Ideal Lux,125510/IL,5313.80,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_125510_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,35 cm,"73,5 cm",Materiał:Metal   Kolor:Biały   Trzonek:E27   Moc żarówkiL60W   Napięcie zasilaniaL230V   Ilość żarówekL10 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon COMPO PL10 FUME' 172804 -Ideal Lux,172804/IL,5313.80,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_172804_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,35 cm,"73,5 cm",Materiał:Metal   Kolor:Dymiony   Trzonek:E27   Moc żarówkiL60W   Napięcie zasilaniaL230V   Ilość żarówekL10 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon COMPO PL15 BIANCO 125565 -Ideal Lux,125565/IL,7167.50,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_125565_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,35 cm,85 cm,Materiał:Metal   Kolor:Biały   Trzonek:E27   Moc żarówkiL60W   Napięcie zasilaniaL230V   Ilość żarówekL15 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon COMPO PL6 BIANCO 125503 -Ideal Lux,125503/IL,2904.10,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_125503_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,35 cm,56 cm,Materiał:Metal   Kolor:Biały   Trzonek:E27   Moc żarówkiL60W   Napięcie zasilaniaL230V   Ilość żarówekL6 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon COMPO PL6 FUME' 172828 -Ideal Lux,172828/IL,2904.10,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_172828_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,35 cm,56 cm,Materiał:Metal   Kolor:Dymiony   Trzonek:E27   Moc żarówkiL60W   Napięcie zasilaniaL230V   Ilość żarówekL6 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon MOONLIGHT PL12 ORO 082783 -Ideal Lux,082783/IL,3077.10,10,https://polskielampy.pl/images/lampy/IdealLux/2019/mini/450px_082783.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,36 cm,60 cm,Materiał:Szkło kryształowe   Kolor:Złoty   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL12 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
