ID;name;catalognumber;cena brutto;ID regula podatkowa;ID kategorii;inInventory;picture;description;attributes
100;Lampa stołowa GRU TL105 BIANCO 147642 -Ideal Lux;147642/IL;1019.5;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_147642_1.jpg;IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.;Wysokość:62 cm,Szerokość:70,5 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:6,3W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
101;Lampa biurkowa BOBBYLED XCT8458 - King Home;XCT8458;399.2;1;LAMPY BIURKOWE LED;2;https://polskielampy.pl/images/Obrazki/mini/450px_OSW000562_bobby_1c.jpg;Lampa biurkowa Bobby w całości wykonana została z aluminium.  Lampa w kolorze białym z satynowym wykończeniem. Obudowa klosza w górnej części wykończona jest szczotkowanym mosiądzem. Włącznik umieszczony na przewodzie. Ledowe żródło światła połączone z okragłym kloszem oraz mleczną osłoną, oferuje ciepłe i przyjemne światło. Lampa z regulacja kąta światła.King Home to ciągle nowe rozwiązania dla Twojego mieszkania. Przedstawiamy tu zbiór nowoczesnych pomysłów na urządzenie każdego wnętrza. W kolekcji King Home znajdują się między innymi modernistyczne lampy o ciekawych formach i kształtach. Meble designerskie, fotele, hokery, sofy i krzesła barowe które upiększą i nadadzą ciekawej formy wszystkim designersko urządzanym wnętrzom.King Home - to podróż po świecie nowoczesnego designu, magicznych form oświetleniowych oraz pięknych mebli designerskich dla domu, mieszkania i biura. Wspaniałe projekty oświetleniowe inspirowane najnowszymi trendami. Wśród lamp King Home znajdziesz nowoczesne lampy szklane, kryształowe oraz metalowe. W ofercie znajdują się modernistyczne lampy nowoczesne oraz minimalistyczne lampy w stylu loft industrial.;Wysokość:55 cm,Szerokość:16,3 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:8W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
102;Lampa stołowa  M3A  ZŁOTA/GOLD - Zuma Line;003064-014358;242.1;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/!!!!!!!ZUMAA/2020/mini/450px_Lampa stołowa M3A.jpg;Lampa stołowa  M3A  ZŁOTA/GOLD - Zuma Line;Wysokość:34 cm,Szerokość:13 cm,Materiał:Tworzywo sztuczne,Kolor:Złoty,Trzonek:Moduł LED,Moc żarówki:,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Nie,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
103;Lampa stołowa  U11C  CZARNA/BLACK - Zuma Line;003064-014359;143.1;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/!!!!!!!ZUMAA/2020/mini/450px_U11C_.jpg;Lampa stołowa  U11C  CZARNA/BLACK - Zuma Line;Wysokość:37 cm,Szerokość:7 cm,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Nie,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
104;Lampa stołowa ASCOLI 1286016 – Astro;1286016;1181.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--av8LVvWI--/mini/450px_d72824b86ff239b6c49a37762d1f457c69df1d4b.jpg;Lampa stołowa ASCOLI 4580 – Astro;Wysokość:42 cm,Szerokość:13,5 cm,Materiał:Metal,Kolor:Biały,Trzonek:GU10,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
105;Lampa stołowa ASCOLI 1286017– Astro;1286017;1240.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--l1AoDNry--/mini/450px_6475e6f86e6cc43db9b6befc3a72c9bba64ceeaf.jpg;Lampa stołowa ASCOLI 4581 – Astro;Wysokość:42 cm,Szerokość:13,5 cm,Materiał:Metal,Kolor:Biały,Trzonek:GU10,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
106;Lampa stołowa ASCOLI 1286024 – Astro;1286024;1240.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--f2kHavzb--/mini/450px_b7edfe5072c24184435e6469e28725847ebea485.jpg;Lampa stołowa ASCOLI 4584 – Astro;Wysokość:42 cm,Szerokość:13,5 cm,Materiał:Metal,Kolor:Brązowy,Trzonek:GU10,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
107;Lampa stołowa Ascoli Desk czarna 1286086 - Astro;1286086;1181.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--fOTMeoyj--/mini/450px_36f3d3a9acea84637b854e37ab6d53d29c28378f.jpg;Lampa stołowa Ascoli Desk czarna 1286086 - Astro;Wysokość:42 cm,Szerokość:13,5 cm,Materiał:Metal,Kolor:Czarny,Trzonek:GU10,Moc żarówki:6W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Tak,Źródło światła w komplecie:Nie,Klasa szczelności:IP20
108;Lampa stołowa Avaritsa 61068/C - ONE Light;61068/C;357.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/ONELIGHT/mini/450px_61068.jpg;61068/C biała lampa biurkowa z gniazdem USB oraz 5-stopniową regulacją barwy światła 3000K-6000K 15W;Wysokość:42 cm,Szerokość:,Materiał:Tworzywo sztuczne,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:15W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
109;Lampa stołowa CAJERO 95694 – EGLO;95694/Eglo;249.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//EGLO/mini/450px_95694.jpg;Lampa stołowa CAJERO 95694 – EGLO;Wysokość:0,Szerokość:10 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
110;Lampa stołowa CAJERO 95695 – EGLO;95695/Eglo;249.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//EGLO/mini/450px_95695.jpg;Lampa stołowa CAJERO 95695 – EGLO;Wysokość:0,Szerokość:10 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
111;Lampa stołowa CAJERO 95696 – EGLO;95696/Eglo;249.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//EGLO/mini/450px_95696.jpg;Lampa stołowa CAJERO 95696 – EGLO;Wysokość:0,Szerokość:10 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
112;Lampa stołowa CAUPO 93965 - Eglo;93965/Eglo;329.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_93965.jpg;Lampa stołowa CAUPO 93965 - Eglo;Wysokość:55 cm,Szerokość:15 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:2,9W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
113;Lampa stołowa CAUPO 93966 - Eglo;93966/Eglo;329.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_93966.jpg;Lampa stołowa CAUPO 93966 - Eglo;Wysokość:55 cm,Szerokość:15 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:2,9W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
114;Lampa stołowa COGNOLI 97914 – EGLO;97914/Eglo;359.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//EGLO/mini/450px_97914.jpg;Lampa stołowa COGNOLI 97914 – EGLO;Wysokość:51 cm,Szerokość:7 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:3,2W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
115;Lampa stołowa COGNOLI 97915 – EGLO;97915/Eglo;359.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images//EGLO/mini/450px_97915.jpg;Lampa stołowa COGNOLI 97915 – EGLO;Wysokość:51 cm,Szerokość:7 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:3,2W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
116;Lampa stołowa DAMBERA 94673 - Eglo;94673/Eglo;254.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_94673.jpg;Lampa stołowa DAMBERA 94673 - Eglo;Wysokość:37,5 cm,Szerokość:17 cm,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
117;Lampa stołowa Donatos 61068B/C - ONE Light;61068B/C;357.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/ONELIGHT/mini/450px_61068B-_c_.jpg;61068B/C czarna lampa biurkowa z gniazdem USB oraz 7-stopniową regulacją ściemniania 4000K 12W;Wysokość:41,5 cm,Szerokość:19,8x12,8 cm,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:12W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
118;Lampa stołowa ENNA 1058005 - Astro;1058005;1275.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--hgxPiwGH--/mini/450px_c51a01db8e467e322cd703bc4a3ae35f52bb9ebd.jpg;Astro Lighting to brytyjski producent oświetlenia z ponad 20 letnią tradycją. Firma jest największym europejskim producentem oświetlenia łazienkowego. Produkty Astro to połączenie nowoczesnego designu oraz nieskomplikowania. Oczywiście w ofercie również znajdą Państwo lampy o klasycznym wyglądzie. Oprawy cechuje precyzja wykonania oraz najlepsze jakościowo materiały.;Wysokość:45 cm,Szerokość:12 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:3W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
119;Lampa stołowa ENNA 1058006- Astro;1058006;1275.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--g7I5x8az--/mini/450px_38146bc6c689be77f0e7f2411a4c662b7f09a9b8.jpg;Astro Lighting to brytyjski producent oświetlenia z ponad 20 letnią tradycją. Firma jest największym europejskim producentem oświetlenia łazienkowego. Produkty Astro to połączenie nowoczesnego designu oraz nieskomplikowania. Oczywiście w ofercie również znajdą Państwo lampy o klasycznym wyglądzie. Oprawy cechuje precyzja wykonania oraz najlepsze jakościowo materiały.;Wysokość:45 cm,Szerokość:12 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:3W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
120;"Lampa stołowa ENNA 1058057
 – Astro";1058057;1311.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--zmYZTkg_--/mini/450px_0ecc2047fb8a3d2233e2aac534c2de57a512d6ba.jpg;Lampa stołowa ENNA 4578 – Astro;Wysokość:45 cm,Szerokość:24,1 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
121;Lampa stołowa ENNA DESK 1058106– Astro;1058106;1352.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/image/upload/s--WyTHgDH8--/mini/450px_2b1b31576373cf7f671c2862f4cf02db5f560133.jpg;Lampa stołowa ENNA DESK 8421 – Astro;Wysokość:45 cm,Szerokość:12 cm,Materiał:Metal,Kolor:Złoty,Trzonek:Moduł LED,Moc żarówki:4,5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
122;Lampa stołowa Fold Table LED biała 1408004 - Astro;1408004;1523.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!RED/ASTRO/mini/450px_1408004.jpg;Lampa stołowa Fold Table LED biała 1408004 - Astro;Wysokość:42,5 cm,Szerokość:14 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:4.7W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
123;Lampa stołowa Fold Table LED czarna 1408005 - Astro;1408005/ASTRO;1142.0;1;LAMPY BIURKOWE LED;2;https://polskielampy.pl/images/!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!RED/ASTRO/mini/450px_1408005.jpg;Lampa stołowa Fold Table LED czarna 1408005 - Astro;Wysokość:42,5 cm,Szerokość:14 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:4.7W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
124;Lampa stołowa Fold Table LED nikiel 1408006 - Astro;1408006/ASTRO;1187.0;1;LAMPY BIURKOWE LED;2;https://polskielampy.pl/images/!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!RED/ASTRO/mini/450px_1408006.jpg;Lampa stołowa Fold Table LED nikiel 1408006 - Astro;Wysokość:42,5 cm,Szerokość:14 cm,Materiał:Metal,Kolor:Szary,Trzonek:Moduł LED,Moc żarówki:4.7W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
125;Lampa stołowa FOX 92873 - Eglo;92873/Eglo;179.9;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/EGLO/mini/450px_92873.jpg;Lampa stołowa FOX 92873 - Eglo;Wysokość:32 cm,Szerokość:12,5 cm,Materiał:Metal,Kolor:Czarny,Trzonek:GU10,Moc żarówki:3W,Napięcie zasilania:230V,Ilość żarówek:2,Kompatybilna z LED:Tak,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
126;Lampa stołowa Galaxy 632035901 - DeMarkt;632035901;1174.19;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/media/catalog/product/6/3/mini/450px_632035901.jpg;Lampa stołowa Galaxy 632035901 - DeMarkt;Wysokość:39 cm,Szerokość:18 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:7W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
127;Lampa stołowa Gola 61070/B - ONE Light;61070/B;241.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/ONELIGHT/mini/450px_61070-B.jpg;61070/B ściemnialna lampa biurkowa w kolorze czarnym 5W;Wysokość:50 cm,Szerokość:,Materiał:Tworzywo sztuczne,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
128;Lampa stołowa Jak 77457 - Endon;77457/END;478.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/Endon/2020/mini/450px_77457.jpg;Lampa stołowa Jak 77457to połączenie estetyki z subtelną stylistyką i funkcjonalnością. Niebywale ceniony, brytyjski producentEndonoferuje profesjonalne wykonanie i najlepszą jakość z oryginalnym stylem. Solidna podstawa jest regulowana w trzech miejscach nadając oprawie niezwykłej praktyczności i komfortu użytkowania. Okrągła, płaska głowica z wbudowanym źródłem światła typu LED gwarantuje niesamowicie efektowne oświetlenie i energooszczędność. Lampa stołowaJakdoskonale sprawdzi się w przestrzeni domowej, biurowej czy komercyjnej.;Wysokość:44 cm,Szerokość:18,5 cm,Materiał:Metal,Kolor:Srebrny,Trzonek:Moduł LED,Moc żarówki:10W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Nie,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
129;Lampa stołowa LA SECA 97044 – EGLO;97044/Eglo;159.9;1;LAMPY BIURKOWE LED;2;https://polskielampy.pl/images//EGLO/mini/450px_97044.jpg;Lampa stołowa LA SECA 97044 – EGLO;Wysokość:0,Szerokość:20 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:1,2W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
130;Lampa stołowa nowoczesna Aria  ARI4046 - Dar Lighting;ARI4046;602.0;1;LAMPY BIURKOWE LED;10;https://polskielampy.pl/images/images/DAR/1200/mini/450px_ARI4046.jpg;Lampa stołowa nowoczesna Aria ARI4046to połączenie funkcjonalnego wykonania z subtelnym designem. Renomowany, brytyjski producentDar Lightingoferuje indywidualne podejście, modernistyczne wzornictwo z precyzyjnym wykończeniem. Wyrafinowana forma w kolorze chromu nada rewelacyjnego efektu wizualnego zachwycając delikatnością i oryginalnością. Zintegrowane źródło światła typu LED gwarantuje niebywale atrakcyjne oświetlenie i energooszczędność. Interesująca propozycja podkreśli klimatyczny nastrój i przyjemną atmosferę w pomieszczeniu. Lampa stołowaAriadoskonale dopełni aranżację sypialni, jadalni, biura czy pokoju dziennego jako minimalistyczna dekoracja i dodatkowy punkt oświetlenia.;Wysokość:62 cm,Szerokość:33 cm,Materiał:Metal,Kolor:Chrom,Trzonek:Moduł LED,Moc żarówki:5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
